ID,电影名称,评分,信息,短评,url
0,肖申克的救赎,9.7,导演: 弗兰克·德拉邦特 Frank Darabont主演: 蒂姆·罗宾斯 Tim Robbins ...                            1994美国犯罪 剧情,希望让人自由。,https://movie.douban.com/subject/1292052/
1,霸王别姬,9.6,导演: 陈凯歌 Kaige Chen主演: 张国荣 Leslie Cheung  张丰毅 Fengyi Zha...                            1993中国大陆 中国香港剧情 爱情 同性,风华绝代。,https://movie.douban.com/subject/1291546/
2,阿甘正传,9.5,导演: 罗伯特·泽米吉斯 Robert Zemeckis主演: 汤姆·汉克斯 Tom Hanks  ...                            1994美国剧情 爱情,一部美国近现代史。,https://movie.douban.com/subject/1292720/
3,泰坦尼克号,9.5,导演: 詹姆斯·卡梅隆 James Cameron主演: 莱昂纳多·迪卡普里奥 Leonardo...                            1997美国 墨西哥剧情 爱情 灾难,失去的才是永恒的。,https://movie.douban.com/subject/1292722/
4,这个杀手不太冷,9.4,导演: 吕克·贝松 Luc Besson主演: 让·雷诺 Jean Reno  娜塔莉·波特曼 ...                            1994法国 美国剧情 动作 犯罪,怪蜀黍和小萝莉不得不说的故事。,https://movie.douban.com/subject/1295644/
5,千与千寻,9.4,导演: 宫崎骏 Hayao Miyazaki主演: 柊瑠美 Rumi Hîragi  入野自由 Miy...                            2001日本剧情 动画 奇幻,最好的宫崎骏，最好的久石让。,https://movie.douban.com/subject/1291561/
6,美丽人生,9.6,导演: 罗伯托·贝尼尼 Roberto Benigni主演: 罗伯托·贝尼尼 Roberto Beni...                            1997意大利剧情 喜剧 爱情 战争,最美的谎言。,https://movie.douban.com/subject/1292063/
7,辛德勒的名单,9.6,导演: 史蒂文·斯皮尔伯格 Steven Spielberg主演: 连姆·尼森 Liam Neeson...                            1993美国剧情 历史 战争,拯救一个人，就是拯救整个世界。,https://movie.douban.com/subject/1295124/
8,星际穿越,9.4,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 马修·麦康纳 Matthew Mc...                            2014美国 英国 加拿大剧情 科幻 冒险,爱是一种力量，让我们超越时空感知它的存在。,https://movie.douban.com/subject/1889243/
9,盗梦空间,9.4,导演: 克里斯托弗·诺兰 Christopher Nolan主演: 莱昂纳多·迪卡普里奥 Le...                            2010美国 英国剧情 科幻 悬疑 冒险,诺兰给了我们一场无法盗取的梦。,https://movie.douban.com/subject/3541415/
10,楚门的世界,9.4,导演: 彼得·威尔 Peter Weir主演: 金·凯瑞 Jim Carrey  劳拉·琳妮 Lau...                            1998美国剧情 科幻,如果再也不能见到你，祝你早安，午安，晚安。,https://movie.douban.com/subject/1292064/
11,忠犬八公的故事,9.4,导演: 莱塞·霍尔斯道姆 Lasse Hallström主演: 理查·基尔 Richard Ger...                            2009美国 英国剧情,永远都不能忘记你所爱的人。,https://movie.douban.com/subject/3011091/
12,海上钢琴师,9.3,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore主演: 蒂姆·罗斯 Tim Roth  ...                            1998意大利剧情 音乐,每个人都要走一条自己坚定了的路，就算是粉身碎骨。,https://movie.douban.com/subject/1292001/
13,三傻大闹宝莱坞,9.2,导演: 拉库马·希拉尼 Rajkumar Hirani主演: 阿米尔·汗 Aamir Khan  卡...                            2009印度剧情 喜剧 爱情 歌舞,英俊版憨豆，高情商版谢耳朵。,https://movie.douban.com/subject/3793023/
